231A..231B    ; Basic_Emoji                  ; watch                                                          # E0.6   [2] (⌚..⌛)
2622 FE0F     ; Basic_Emoji                  ; radioactive                                                    # E1.0   [1] (☢️)
2623 FE0F     ; Basic_Emoji                  ; biohazard                                                      # E1.0   [1] (☣️)
2626 FE0F     ; Basic_Emoji                  ; orthodox cross                                                 # E1.0   [1] (☦️)
262A FE0F     ; Basic_Emoji                  ; star and crescent                                              # E0.7   [1] (☪️)
262E FE0F     ; Basic_Emoji                  ; peace symbol                                                   # E1.0   [1] (☮️)
262F FE0F     ; Basic_Emoji                  ; yin yang                                                       # E0.7   [1] (☯️)
2638 FE0F     ; Basic_Emoji                  ; wheel of dharma                                                # E0.7   [1] (☸️)
2639 FE0F     ; Basic_Emoji                  ; frowning face                                                  # E0.7   [1] (☹️)
263A FE0F     ; Basic_Emoji                  ; smiling face                                                   # E0.6   [1] (☺️)
2640 FE0F     ; Basic_Emoji                  ; female sign                                                    # E4.0   [1] (♀️)
2642 FE0F     ; Basic_Emoji                  ; male sign                                                      # E4.0   [1] (♂️)
265F FE0F     ; Basic_Emoji                  ; chess pawn                                                     # E11.0  [1] (♟️)
2660 FE0F     ; Basic_Emoji                  ; spade suit                                                     # E0.6   [1] (♠️)
2663 FE0F     ; Basic_Emoji                  ; club suit                                                      # E0.6   [1] (♣️)
2665 FE0F     ; Basic_Emoji                  ; heart suit                                                     # E0.6   [1] (♥️)
2666 FE0F     ; Basic_Emoji                  ; diamond suit                                                   # E0.6   [1] (♦️)
2668 FE0F     ; Basic_Emoji                  ; hot springs                                                    # E0.6   [1] (♨️)
267B FE0F     ; Basic_Emoji                  ; recycling symbol                                               # E0.6   [1] (♻️)
267E FE0F     ; Basic_Emoji                  ; infinity                                                       # E11.0  [1] (♾️)
2692 FE0F     ; Basic_Emoji                  ; hammer and pick                                                # E1.0   [1] (⚒️)
2694 FE0F     ; Basic_Emoji                  ; crossed swords                                                 # E1.0   [1] (⚔️)
2695 FE0F     ; Basic_Emoji                  ; medical symbol                                                 # E4.0   [1] (⚕️)
2696 FE0F     ; Basic_Emoji                  ; balance scale                                                  # E1.0   [1] (⚖️)
2697 FE0F     ; Basic_Emoji                  ; alembic                                                        # E1.0   [1] (⚗️)
2699 FE0F     ; Basic_Emoji                  ; gear                                                           # E1.0   [1] (⚙️)
269B FE0F     ; Basic_Emoji                  ; atom symbol                                                    # E1.0   [1] (⚛️)
269C FE0F     ; Basic_Emoji                  ; fleur-de-lis                                                   # E1.0   [1] (⚜️)
26A0 FE0F     ; Basic_Emoji                  ; warning                                                        # E0.6   [1] (⚠️)
26A7 FE0F     ; Basic_Emoji                  ; transgender symbol                                             # E13.0  [1] (⚧️)
26B0 FE0F     ; Basic_Emoji                  ; coffin                                                         # E1.0   [1] (⚰️)
26B1 FE0F     ; Basic_Emoji                  ; funeral urn                                                    # E1.0   [1] (⚱️)
26C8 FE0F     ; Basic_Emoji                  ; cloud with lightning and rain                                  # E0.7   [1] (⛈️)
26CF FE0F     ; Basic_Emoji                  ; pick                                                           # E0.7   [1] (⛏️)
26D1 FE0F     ; Basic_Emoji                  ; rescue worker’s helmet                                         # E0.7   [1] (⛑️)
26D3 FE0F     ; Basic_Emoji                  ; chains                                                         # E0.7   [1] (⛓️)
26E9 FE0F     ; Basic_Emoji                  ; shinto shrine                                                  # E0.7   [1] (⛩️)
26F0 FE0F     ; Basic_Emoji                  ; mountain                                                       # E0.7   [1] (⛰️)
26F1 FE0F     ; Basic_Emoji                  ; umbrella on ground                                             # E0.7   [1] (⛱️)
26F4 FE0F     ; Basic_Emoji                  ; ferry                                                          # E0.7   [1] (⛴️)
26F7 FE0F     ; Basic_Emoji                  ; skier                                                          # E0.7   [1] (⛷️)
26F8 FE0F     ; Basic_Emoji                  ; ice skate                                                      # E0.7   [1] (⛸️)
26F9 FE0F     ; Basic_Emoji                  ; person bouncing ball                                           # E0.7   [1] (⛹️)
2702 FE0F     ; Basic_Emoji                  ; scissors                                                       # E0.6   [1] (✂️)
2708 FE0F     ; Basic_Emoji                  ; airplane                                                       # E0.6   [1] (✈️)
2709 FE0F     ; Basic_Emoji                  ; envelope                                                       # E0.6   [1] (✉️)
270C FE0F     ; Basic_Emoji                  ; victory hand                                                   # E0.6   [1] (✌️)
270D FE0F     ; Basic_Emoji                  ; writing hand                                                   # E0.7   [1] (✍️)
270F FE0F     ; Basic_Emoji                  ; pencil                                                         # E0.6   [1] (✏️)
2712 FE0F     ; Basic_Emoji                  ; black nib                                                      # E0.6   [1] (✒️)
2714 FE0F     ; Basic_Emoji                  ; check mark                                                     # E0.6   [1] (✔️)
2716 FE0F     ; Basic_Emoji                  ; multiply                                                       # E0.6   [1] (✖️)
271D FE0F     ; Basic_Emoji                  ; latin cross                                                    # E0.7   [1] (✝️)
2721 FE0F     ; Basic_Emoji                  ; star of David                                                  # E0.7   [1] (✡️)
2733 FE0F     ; Basic_Emoji                  ; eight-spoked asterisk                                          # E0.6   [1] (✳️)
2734 FE0F     ; Basic_Emoji                  ; eight-pointed star                                             # E0.6   [1] (✴️)
2744 FE0F     ; Basic_Emoji                  ; snowflake                                                      # E0.6   [1] (❄️)
2747 FE0F     ; Basic_Emoji                  ; sparkle                                                        # E0.6   [1] (❇️)
2763 FE0F     ; Basic_Emoji                  ; heart exclamation                                              # E1.0   [1] (❣️)
2764 FE0F     ; Basic_Emoji                  ; red heart                                                      # E0.6   [1] (❤️)
27A1 FE0F     ; Basic_Emoji                  ; right arrow                                                    # E0.6   [1] (➡️)
2934 FE0F     ; Basic_Emoji                  ; right arrow curving up                                         # E0.6   [1] (⤴️)
2935 FE0F     ; Basic_Emoji                  ; right arrow curving down                                       # E0.6   [1] (⤵️)
2B05 FE0F     ; Basic_Emoji                  ; left arrow                                                     # E0.6   [1] (⬅️)
2B06 FE0F     ; Basic_Emoji                  ; up arrow                                                       # E0.6   [1] (⬆️)
2B07 FE0F     ; Basic_Emoji                  ; down arrow                                                     # E0.6   [1] (⬇️)
3030 FE0F     ; Basic_Emoji                  ; wavy dash                                                      # E0.6   [1] (〰️)
303D FE0F     ; Basic_Emoji                  ; part alternation mark                                          # E0.6   [1] (〽️)
3297 FE0F     ; Basic_Emoji                  ; Japanese “congratulations” button                              # E0.6   [1] (㊗️)
3299 FE0F     ; Basic_Emoji                  ; Japanese “secret” button                                       # E0.6   [1] (㊙️)
1F170 FE0F    ; Basic_Emoji                  ; A button (blood type)                                          # E0.6   [1] (🅰️)
1F171 FE0F    ; Basic_Emoji                  ; B button (blood type)                                          # E0.6   [1] (🅱️)
1F17E FE0F    ; Basic_Emoji                  ; O button (blood type)                                          # E0.6   [1] (🅾️)
1F17F FE0F    ; Basic_Emoji                  ; P button                                                       # E0.6   [1] (🅿️)
1F202 FE0F    ; Basic_Emoji                  ; Japanese “service charge” button                               # E0.6   [1] (🈂️)
1F237 FE0F    ; Basic_Emoji                  ; Japanese “monthly amount” button                               # E0.6   [1] (🈷️)
1F321 FE0F    ; Basic_Emoji                  ; thermometer                                                    # E0.7   [1] (🌡️)
1F324 FE0F    ; Basic_Emoji                  ; sun behind small cloud                                         # E0.7   [1] (🌤️)
1F325 FE0F    ; Basic_Emoji                  ; sun behind large cloud                                         # E0.7   [1] (🌥️)
1F326 FE0F    ; Basic_Emoji                  ; sun behind rain cloud                                          # E0.7   [1] (🌦️)
1F327 FE0F    ; Basic_Emoji                  ; cloud with rain                                                # E0.7   [1] (🌧️)
1F328 FE0F    ; Basic_Emoji                  ; cloud with snow                                                # E0.7   [1] (🌨️)
1F329 FE0F    ; Basic_Emoji                  ; cloud with lightning                                           # E0.7   [1] (🌩️)
1F32A FE0F    ; Basic_Emoji                  ; tornado                                                        # E0.7   [1] (🌪️)
1F32B FE0F    ; Basic_Emoji                  ; fog                                                            # E0.7   [1] (🌫️)
1F32C FE0F    ; Basic_Emoji                  ; wind face                                                      # E0.7   [1] (🌬️)
1F336 FE0F    ; Basic_Emoji                  ; hot pepper                                                     # E0.7   [1] (🌶️)
1F37D FE0F    ; Basic_Emoji                  ; fork and knife with plate                                      # E0.7   [1] (🍽️)
1F396 FE0F    ; Basic_Emoji                  ; military medal                                                 # E0.7   [1] (🎖️)
1F397 FE0F    ; Basic_Emoji                  ; reminder ribbon                                                # E0.7   [1] (🎗️)
1F399 FE0F    ; Basic_Emoji                  ; studio microphone                                              # E0.7   [1] (🎙️)
1F39A FE0F    ; Basic_Emoji                  ; level slider                                                   # E0.7   [1] (🎚️)
1F39B FE0F    ; Basic_Emoji                  ; control knobs                                                  # E0.7   [1] (🎛️)
1F39E FE0F    ; Basic_Emoji                  ; film frames                                                    # E0.7   [1] (🎞️)
1F39F FE0F    ; Basic_Emoji                  ; admission tickets                                              # E0.7   [1] (🎟️)
1F3CB FE0F    ; Basic_Emoji                  ; person lifting weights                                         # E0.7   [1] (🏋️)
1F3CC FE0F    ; Basic_Emoji                  ; person golfing                                                 # E0.7   [1] (🏌️)
1F3CD FE0F    ; Basic_Emoji                  ; motorcycle                                                     # E0.7   [1] (🏍️)
1F3CE FE0F    ; Basic_Emoji                  ; racing car                                                     # E0.7   [1] (🏎️)
1F3D4 FE0F    ; Basic_Emoji                  ; snow-capped mountain                                           # E0.7   [1] (🏔️)
1F3D5 FE0F    ; Basic_Emoji                  ; camping                                                        # E0.7   [1] (🏕️)
1F3D6 FE0F    ; Basic_Emoji                  ; beach with umbrella                                            # E0.7   [1] (🏖️)
1F3D7 FE0F    ; Basic_Emoji                  ; building construction                                          # E0.7   [1] (🏗️)
1F3D8 FE0F    ; Basic_Emoji                  ; houses                                                         # E0.7   [1] (🏘️)
1F3D9 FE0F    ; Basic_Emoji                  ; cityscape                                                      # E0.7   [1] (🏙️)
1F3DA FE0F    ; Basic_Emoji                  ; derelict house                                                 # E0.7   [1] (🏚️)
1F3DB FE0F    ; Basic_Emoji                  ; classical building                                             # E0.7   [1] (🏛️)
1F3DC FE0F    ; Basic_Emoji                  ; desert                                                         # E0.7   [1] (🏜️)
1F3DD FE0F    ; Basic_Emoji                  ; desert island                                                  # E0.7   [1] (🏝️)
1F3DE FE0F    ; Basic_Emoji                  ; national park                                                  # E0.7   [1] (🏞️)
1F3DF FE0F    ; Basic_Emoji                  ; stadium                                                        # E0.7   [1] (🏟️)
1F3F3 FE0F    ; Basic_Emoji                  ; white flag                                                     # E0.7   [1] (🏳️)
1F3F5 FE0F    ; Basic_Emoji                  ; rosette                                                        # E0.7   [1] (🏵️)
1F3F7 FE0F    ; Basic_Emoji                  ; label                                                          # E0.7   [1] (🏷️)
1F43F FE0F    ; Basic_Emoji                  ; chipmunk                                                       # E0.7   [1] (🐿️)
1F441 FE0F    ; Basic_Emoji                  ; eye                                                            # E0.7   [1] (👁️)
1F4FD FE0F    ; Basic_Emoji                  ; film projector                                                 # E0.7   [1] (📽️)
1F549 FE0F    ; Basic_Emoji                  ; om                                                             # E0.7   [1] (🕉️)
1F54A FE0F    ; Basic_Emoji                  ; dove                                                           # E0.7   [1] (🕊️)
1F56F FE0F    ; Basic_Emoji                  ; candle                                                         # E0.7   [1] (🕯️)
1F570 FE0F    ; Basic_Emoji                  ; mantelpiece clock                                              # E0.7   [1] (🕰️)
1F573 FE0F    ; Basic_Emoji                  ; hole                                                           # E0.7   [1] (🕳️)
1F574 FE0F    ; Basic_Emoji                  ; person in suit levitating                                      # E0.7   [1] (🕴️)
1F575 FE0F    ; Basic_Emoji                  ; detective                                                      # E0.7   [1] (🕵️)
1F576 FE0F    ; Basic_Emoji                  ; sunglasses                                                     # E0.7   [1] (🕶️)
1F577 FE0F    ; Basic_Emoji                  ; spider                                                         # E0.7   [1] (🕷️)
1F578 FE0F    ; Basic_Emoji                  ; spider web                                                     # E0.7   [1] (🕸️)
1F579 FE0F    ; Basic_Emoji                  ; joystick                                                       # E0.7   [1] (🕹️)
1F587 FE0F    ; Basic_Emoji                  ; linked paperclips                                              # E0.7   [1] (🖇️)
1F58A FE0F    ; Basic_Emoji                  ; pen                                                            # E0.7   [1] (🖊️)
1F58B FE0F    ; Basic_Emoji                  ; fountain pen                                                   # E0.7   [1] (🖋️)
1F58C FE0F    ; Basic_Emoji                  ; paintbrush                                                     # E0.7   [1] (🖌️)
1F58D FE0F    ; Basic_Emoji                  ; crayon                                                         # E0.7   [1] (🖍️)
1F590 FE0F    ; Basic_Emoji                  ; hand with fingers splayed                                      # E0.7   [1] (🖐️)
1F5A5 FE0F    ; Basic_Emoji                  ; desktop computer                                               # E0.7   [1] (🖥️)
1F5A8 FE0F    ; Basic_Emoji                  ; printer                                                        # E0.7   [1] (🖨️)
1F5B1 FE0F    ; Basic_Emoji                  ; computer mouse                                                 # E0.7   [1] (🖱️)
1F5B2 FE0F    ; Basic_Emoji                  ; trackball                                                      # E0.7   [1] (🖲️)
1F5BC FE0F    ; Basic_Emoji                  ; framed picture                                                 # E0.7   [1] (🖼️)
1F5C2 FE0F    ; Basic_Emoji                  ; card index dividers                                            # E0.7   [1] (🗂️)
1F5C3 FE0F    ; Basic_Emoji                  ; card file box                                                  # E0.7   [1] (🗃️)
1F5C4 FE0F    ; Basic_Emoji                  ; file cabinet                                                   # E0.7   [1] (🗄️)
1F5D1 FE0F    ; Basic_Emoji                  ; wastebasket                                                    # E0.7   [1] (🗑️)
1F5D2 FE0F    ; Basic_Emoji                  ; spiral notepad                                                 # E0.7   [1] (🗒️)
1F5D3 FE0F    ; Basic_Emoji                  ; spiral calendar                                                # E0.7   [1] (🗓️)
1F5DC FE0F    ; Basic_Emoji                  ; clamp                                                          # E0.7   [1] (🗜️)
1F5DD FE0F    ; Basic_Emoji                  ; old key                                                        # E0.7   [1] (🗝️)
1F5DE FE0F    ; Basic_Emoji                  ; rolled-up newspaper                                            # E0.7   [1] (🗞️)
1F5E1 FE0F    ; Basic_Emoji                  ; dagger                                                         # E0.7   [1] (🗡️)
1F5E3 FE0F    ; Basic_Emoji                  ; speaking head                                                  # E0.7   [1] (🗣️)
1F5E8 FE0F    ; Basic_Emoji                  ; left speech bubble                                             # E2.0   [1] (🗨️)
1F5EF FE0F    ; Basic_Emoji                  ; right anger bubble                                             # E0.7   [1] (🗯️)
1F5F3 FE0F    ; Basic_Emoji                  ; ballot box with ballot                                         # E0.7   [1] (🗳️)
1F5FA FE0F    ; Basic_Emoji                  ; world map                                                      # E0.7   [1] (🗺️)
1F6CB FE0F    ; Basic_Emoji                  ; couch and lamp                                                 # E0.7   [1] (🛋️)
1F6CD FE0F    ; Basic_Emoji                  ; shopping bags                                                  # E0.7   [1] (🛍️)
1F6CE FE0F    ; Basic_Emoji                  ; bellhop bell                                                   # E0.7   [1] (🛎️)
1F6CF FE0F    ; Basic_Emoji                  ; bed                                                            # E0.7   [1] (🛏️)
1F6E0 FE0F    ; Basic_Emoji                  ; hammer and wrench                                              # E0.7   [1] (🛠️)
1F6E1 FE0F    ; Basic_Emoji                  ; shield                                                         # E0.7   [1] (🛡️)
1F6E2 FE0F    ; Basic_Emoji                  ; oil drum                                                       # E0.7   [1] (🛢️)
1F6E3 FE0F    ; Basic_Emoji                  ; motorway                                                       # E0.7   [1] (🛣️)
1F6E4 FE0F    ; Basic_Emoji                  ; railway track                                                  # E0.7   [1] (🛤️)
1F6E5 FE0F    ; Basic_Emoji                  ; motor boat                                                     # E0.7   [1] (🛥️)
1F6E9 FE0F    ; Basic_Emoji                  ; small airplane                                                 # E0.7   [1] (🛩️)
1F6F0 FE0F    ; Basic_Emoji                  ; satellite                                                      # E0.7   [1] (🛰️)
1F6F3 FE0F    ; Basic_Emoji                  ; passenger ship                                                 # E0.7   [1] (🛳️)
